Defect_ID,Category,Severity,Status,Description
D001,Security,High,In Progress,Error in user authentication
D002,Hardware,Medium,Resolved,Incompatibility with older versions
D003,UI,Low,Open,Unexpected application shutdown
D004,Performance,High,Resolved,Overheating issue in CPU
D005,Security,Low,In Progress,Unexpected pop-up messages
D006,Hardware,Critical,Resolved,Unexpected application shutdown
D007,UI,Critical,In Progress,Slow response in data processing
D008,Software,High,Resolved,Inconsistent behavior across browsers
D009,Software,Critical,Resolved,Inability to access certain features
D010,Software,Medium,Open,Delay in network packet transmissionUI elements not responsive
D011,Performance,High,Open,Failure to save user preferences
D012,Performance,Medium,Resolved,Failure to generate reports
D013,Software,Critical,Resolved,Unexpected pop-up messages
D014,Performance,Medium,Open,Failure to load external resources
D015,Hardware,High,Open,Missing error messages
D016,Security,Critical,Resolved,Error in payment processing
D017,Security,Critical,In Progress,Failure to send notifications
D018,Security,High,In Progress,Failure to update software
D019,Hardware,High,Resolved,Failure to generate reports
D020,Software,Critical,In Progress,Unexpected behavior in search function
D021,Security,Medium,In Progress,Incompatibility with older versions
D022,Hardware,High,In Progress,Inconsistent behavior across browsers
D023,Software,Low,In Progress,Error in data import process
D024,Hardware,Low,Open,Hard drive failure detected
D025,Software,Low,In Progress,Error in payment processing
D026,UI,High,Open,Error in file upload process
D027,UI,Critical,Open,Slow response in data processing
D028,Hardware,Critical,In Progress,Inability to access certain features
D029,Hardware,High,Open,SSL certificate expired
D030,Hardware,Low,Resolved,Inability to access certain features
D031,UI,High,Open,Error in data import process
D032,Security,Low,In Progress,Failure to save user preferences
D033,Performance,High,Open,Failure to update software
D034,Performance,Critical,In Progress,Unauthorized access detected
D035,UI,Medium,Open,Error in payment processing
D036,UI,High,Resolved,Unexpected application shutdown
D037,Security,Critical,Open,Unexpected behavior in search function
D038,Security,Low,In Progress,Failure to load external resources
D039,Software,Critical,Resolved,Unexpected application shutdown
D040,Hardware,Critical,In Progress,Slow response in data processing
D041,Performance,Medium,Resolved,Failure to update software
